[GIN] 2018/11/02 - 18:26:14 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:26:15 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:27:21 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:27:22 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:28:06 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:29:26 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:30:12 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:31:25 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:32:56 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:32:58 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:35:28 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:37:38 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:39:19 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:39:21 | 404 |            0s |             ::1 | POST     /api/menureset
[GIN] 2018/11/02 - 18:39:22 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:39:42 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:39:43 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:39:45 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:39:49 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:41:12 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:41:13 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:41:56 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:41:57 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:42:58 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:43:16 | 400 |      2.0002ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 18:44:45 | 500 |      2.0001ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 18:45:46 | 200 |      2.0002ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 18:47:03 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:47:07 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:54:56 | 200 |      2.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:54:57 | 400 |      1.0001ms |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:54:57 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 18:56:32 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 18:56:33 | 400 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 18:56:33 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:16:31 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:16:34 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:19:49 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:19:56 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:19:59 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:30:06 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:30:08 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:30:55 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:30:55 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:31:00 | 404 |      1.0001ms |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:32:46 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:37:24 | 200 |      2.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:41:07 | 200 |      2.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:41:11 | 404 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:47:14 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:47:34 | 200 |      3.0001ms |             ::1 | POST     /api/menuinsert
[GIN] 2018/11/02 - 19:48:17 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:49:19 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:49:25 | 204 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:49:25 | 404 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:49:51 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:49:52 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:49:59 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:50:02 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:50:35 | 200 |      3.0002ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:50:40 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:50:44 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:50:47 | 404 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:56:48 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 19:56:51 | 204 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 19:56:51 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 19:57:24 | 200 |           1ms |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:00:23 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:02:36 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:02:36 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:02:39 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:02:43 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:02:44 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:06:38 | 200 |      2.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:06:39 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:08:01 | 200 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:08:13 | 200 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:09:56 | 200 |           1ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:10:00 | 204 |            0s |             ::1 | OPTIONS  /api/menureset
[GIN] 2018/11/02 - 20:10:00 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:11:40 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:11:42 | 400 |            0s |             ::1 | PUT      /api/menureset
[GIN] 2018/11/02 - 20:13:08 | 200 |      1.0001ms |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:14:06 | 200 |            0s |             ::1 | GET      /api/menulist?page=1&limit=10
[GIN] 2018/11/02 - 20:14:11 | 204 |            0s |             ::1 | OPTIONS  /api/menureset
